src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X14Y9_RMUX42,X13Y9_BBMUXW01,mcu,13,9,BBMUXW1,0;1;2;3;4;5;6;7;8;9,3;5,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX42,X13Y9_BBMUXW02,mcu,13,9,BBMUXW2,0;1;2;3;4;5;6;7;8;9,3;5,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX86,X13Y9_BBMUXE00,mcu,13,9,BBMUXE0,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX86,X13Y9_BBMUXE01,mcu,13,9,BBMUXE1,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX86,X13Y9_BBMUXE02,mcu,13,9,BBMUXE2,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX86,X13Y9_BBMUXE03,mcu,13,9,BBMUXE3,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX86,X13Y9_BBMUXE04,mcu,13,9,BBMUXE4,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX86,X13Y9_BBMUXE05,mcu,13,9,BBMUXE5,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX86,X13Y9_BBMUXE06,mcu,13,9,BBMUXE6,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX86,X13Y9_BBMUXE07,mcu,13,9,BBMUXE7,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX86,X13Y9_BBMUXE08,mcu,13,9,BBMUXE8,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX86,X13Y9_BBMUXE09,mcu,13,9,BBMUXE9,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX86,X13Y9_BBMUXE10,mcu,13,9,BBMUXE10,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX86,X13Y9_BBMUXE11,mcu,13,9,BBMUXE11,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-payload-shared
X15Y10_RMUX56,X14Y10_RMUX42,fabric,14,10,CFG_RMUX7,0;1;2;3;4;5;6;7;8;9,5;7,vendor-slave-ahb-request-payload-shared
X15Y10_RMUX67,X15Y6_RMUX79,fabric,15,6,CFG_RMUX13,10;11;12;13;14;15;16;17;18;19,16;19,vendor-slave-ahb-request-payload-shared
X15Y11_RMUX50,X15Y7_RMUX13,fabric,15,7,CFG_RMUX2,10;11;12;13;14;15;16;17;18;19,16;19,vendor-slave-ahb-request-payload-shared
X15Y12_RMUX14,X15Y10_RMUX56,fabric,15,10,CFG_RMUX9,20;21;22;23;24;25;26;27;28;29,24;29,vendor-slave-ahb-request-payload-shared
X15Y12_RMUX14,X15Y10_RMUX67,fabric,15,10,CFG_RMUX11,10;11;12;13;14;15;16;17;18;19,14;19,vendor-slave-ahb-request-payload-shared
X15Y12_RMUX14,X15Y11_RMUX50,fabric,15,11,CFG_RMUX8,20;21;22;23;24;25;26;27;28;29,23;29,vendor-slave-ahb-request-payload-shared
X15Y12_RMUX14,X15Y8_RMUX56,fabric,15,8,CFG_RMUX9,20;21;22;23;24;25;26;27;28;29,26;29,vendor-slave-ahb-request-payload-shared
X15Y12_RMUX14,X15Y9_RMUX56,fabric,15,9,CFG_RMUX9,20;21;22;23;24;25;26;27;28;29,25;29,vendor-slave-ahb-request-payload-shared
X15Y6_RMUX79,X14Y6_RMUX24,fabric,14,6,CFG_RMUX4,0;1;2;3;4;5;6;7;8;9,5;7,vendor-slave-ahb-request-payload-shared
X15Y7_RMUX13,X14Y7_RMUX48,fabric,14,7,CFG_RMUX8,0;1;2;3;4;5;6;7;8;9,5;7,vendor-slave-ahb-request-payload-shared
X15Y8_RMUX56,X14Y8_RMUX42,fabric,14,8,CFG_RMUX7,0;1;2;3;4;5;6;7;8;9,5;7,vendor-slave-ahb-request-payload-shared
X15Y9_RMUX56,X14Y9_RMUX42,fabric,14,9,CFG_RMUX7,0;1;2;3;4;5;6;7;8;9,5;7,vendor-slave-ahb-request-payload-shared

