src_res,src_x,src_y,dst_res,dst_x,dst_y,source
RMUX21,20,8,RMUX93,20,4,silicon_ff2
RMUX93,20,4,RMUX86,18,4,silicon_ff2
RMUX63,15,5,RMUX69,14,5,silicon_ff2
RMUX81,13,4,RMUX39,15,4,silicon_ff2
RMUX56,15,2,RMUX33,14,2,silicon_ff2
RMUX44,10,2,RMUX74,10,3,silicon_ff2
RMUX21,18,3,RMUX86,18,2,silicon_ff2
RMUX74,10,3,RMUX02,14,3,silicon_ff2
RMUX86,18,2,RMUX56,15,2,silicon_ff2
RMUX33,14,2,RMUX44,10,2,silicon_ff2
OMUX02,18,3,RMUX21,18,3,silicon_ff2
RMUX44,16,7,RMUX80,16,5,silicon_ff2
RMUX80,16,5,RMUX26,16,4,silicon_ff2
OMUX02,18,4,RMUX08,18,4,silicon_ff2
RMUX08,18,4,RMUX32,20,4,silicon_ff2
RMUX32,20,4,RMUX33,20,7,silicon_ff2
RMUX33,20,7,RMUX44,16,7,silicon_ff2
RMUX26,16,4,RMUX02,14,4,silicon_ff2
RMUX21,18,6,RMUX87,18,5,silicon_ff2
RMUX92,14,3,RMUX75,14,5,silicon_ff2
RMUX86,18,6,RMUX50,14,6,silicon_ff2
RMUX21,18,7,RMUX86,18,6,silicon_ff2
RMUX09,14,2,RMUX39,14,6,silicon_ff2
RMUX68,10,2,RMUX74,13,2,silicon_ff2
RMUX87,10,4,RMUX68,10,2,silicon_ff2
RMUX74,13,2,RMUX09,14,2,silicon_ff2
RMUX39,14,5,RMUX58,14,6,silicon_ff2
RMUX21,18,9,RMUX87,18,6,silicon_ff2
RMUX62,18,2,RMUX56,18,4,silicon_ff2
RMUX87,18,6,RMUX62,18,2,silicon_ff2
RMUX21,18,10,RMUX86,18,6,silicon_ff2
OMUX02,18,10,IMUX02,18,10,silicon_ff2
OMUX02,18,10,RMUX21,18,10,silicon_ff2
RMUX92,15,4,RMUX85,15,5,silicon_ff2
RMUX85,15,5,RMUX48,15,6,silicon_ff2
RMUX03,20,8,RMUX21,17,8,silicon_ff2
RMUX21,17,8,RMUX93,17,4,silicon_ff2
RMUX93,17,4,RMUX92,15,4,silicon_ff2
RMUX48,15,6,IMUX00,14,6,silicon_ff2
RMUX08,20,5,RMUX27,19,5,silicon_ff2
RMUX27,19,5,RMUX20,19,4,silicon_ff2
RMUX20,18,5,RMUX75,14,5,silicon_ff2
RMUX20,19,4,RMUX75,18,4,silicon_ff2
RMUX75,18,4,RMUX20,18,5,silicon_ff2
