"edge","template","column","routes","source"
"RMUX33@3,2->RMUX45@3,2","RMUX33(+0,+0)->RMUX45","3","2","afexe_bitgen_20260919"
"RMUX37@3,2->RMUX48@3,4","RMUX37(+0,-2)->RMUX48","3","2","afexe_bitgen_20260919"
"RMUX38@3,2->RMUX50@2,2","RMUX38(+1,+0)->RMUX50","2","2","afexe_bitgen_20260919"
"RMUX39@3,2->RMUX52@3,1","RMUX39(+0,+1)->RMUX52","3","2","afexe_bitgen_20260919"
"RMUX39@3,2->RMUX53@3,1","RMUX39(+0,+1)->RMUX53","3","2","afexe_bitgen_20260919"
"RMUX39@3,2->RMUX58@3,1","RMUX39(+0,+1)->RMUX58","3","2","afexe_bitgen_20260919"
"RMUX45@3,2->RMUX86@2,2","RMUX45(+1,+0)->RMUX86","2","2","afexe_bitgen_20260919"
"RMUX49@3,2->RMUX7@4,2","RMUX49(-1,+0)->RMUX7","4","2","afexe_bitgen_20260919"
"RMUX51@3,2->RMUX15@3,2","RMUX51(+0,+0)->RMUX15","3","2","afexe_bitgen_20260919"
"RMUX55@3,2->RMUX31@3,1","RMUX55(+0,+1)->RMUX31","3","2","afexe_bitgen_20260919"
"RMUX68@3,2->RMUX80@2,2","RMUX68(+1,+0)->RMUX80","2","2","afexe_bitgen_20260919"
"RMUX68@3,2->RMUX85@2,2","RMUX68(+1,+0)->RMUX85","2","2","afexe_bitgen_20260919"
"RMUX69@3,2->RMUX93@3,1","RMUX69(+0,+1)->RMUX93","3","2","afexe_bitgen_20260919"
"RMUX73@3,2->RMUX0@3,4","RMUX73(+0,-2)->RMUX0","3","2","afexe_bitgen_20260919"
"RMUX75@3,2->RMUX10@3,1","RMUX75(+0,+1)->RMUX10","3","2","afexe_bitgen_20260919"
"RMUX80@3,2->RMUX26@3,4","RMUX80(+0,-2)->RMUX26","3","2","afexe_bitgen_20260919"
"RMUX86@3,2->RMUX50@4,2","RMUX86(-1,+0)->RMUX50","4","2","afexe_bitgen_20260919"
"RMUX91@3,2->RMUX72@2,2","RMUX91(+1,+0)->RMUX72","2","2","afexe_bitgen_20260919"
"RMUX91@3,2->RMUX89@2,2","RMUX91(+1,+0)->RMUX89","2","2","afexe_bitgen_20260919"
"RMUX92@3,2->RMUX81@3,2","RMUX92(+0,+0)->RMUX81","3","2","afexe_bitgen_20260919"
"RMUX3@3,3->RMUX15@3,3","RMUX3(+0,+0)->RMUX15","3","2","afexe_bitgen_20260919"
"RMUX7@3,3->RMUX25@3,3","RMUX7(+0,+0)->RMUX25","3","2","afexe_bitgen_20260919"
"RMUX8@3,3->RMUX26@2,3","RMUX8(+1,+0)->RMUX26","2","2","afexe_bitgen_20260919"
"RMUX8@3,3->RMUX27@2,3","RMUX8(+1,+0)->RMUX27","2","2","afexe_bitgen_20260919"
"RMUX8@3,3->RMUX33@2,3","RMUX8(+1,+0)->RMUX33","2","2","afexe_bitgen_20260919"
"RMUX14@3,3->RMUX61@3,4","RMUX14(+0,-1)->RMUX61","3","2","afexe_bitgen_20260919"
"RMUX15@3,3->RMUX63@2,3","RMUX15(+1,+0)->RMUX63","2","2","afexe_bitgen_20260919"
"RMUX27@3,3->RMUX4@3,4","RMUX27(+0,-1)->RMUX4","3","2","afexe_bitgen_20260919"
"RMUX27@3,3->RMUX11@3,4","RMUX27(+0,-1)->RMUX11","3","2","afexe_bitgen_20260919"
"RMUX27@3,3->RMUX15@3,4","RMUX27(+0,-1)->RMUX15","3","2","afexe_bitgen_20260919"
"RMUX32@3,3->RMUX33@3,1","RMUX32(+0,+2)->RMUX33","3","2","afexe_bitgen_20260919"
"RMUX33@3,3->RMUX45@3,3","RMUX33(+0,+0)->RMUX45","3","2","afexe_bitgen_20260919"
"RMUX44@3,3->RMUX85@3,3","RMUX44(+0,+0)->RMUX85","3","2","afexe_bitgen_20260919"
"RMUX45@3,3->RMUX86@2,3","RMUX45(+1,+0)->RMUX86","2","2","afexe_bitgen_20260919"
"RMUX49@3,3->RMUX7@4,3","RMUX49(-1,+0)->RMUX7","4","2","afexe_bitgen_20260919"
"RMUX51@3,3->RMUX15@3,3","RMUX51(+0,+0)->RMUX15","3","2","afexe_bitgen_20260919"
"RMUX55@3,3->RMUX24@3,1","RMUX55(+0,+2)->RMUX24","3","2","afexe_bitgen_20260919"
"RMUX57@3,3->RMUX34@3,4","RMUX57(+0,-1)->RMUX34","3","2","afexe_bitgen_20260919"
"RMUX57@3,3->RMUX38@3,4","RMUX57(+0,-1)->RMUX38","3","2","afexe_bitgen_20260919"
"RMUX67@3,3->RMUX72@3,3","RMUX67(+0,+0)->RMUX72","3","2","afexe_bitgen_20260919"
"RMUX67@3,3->RMUX94@3,4","RMUX67(+0,-1)->RMUX94","3","2","afexe_bitgen_20260919"
"RMUX68@3,3->RMUX80@2,3","RMUX68(+1,+0)->RMUX80","2","2","afexe_bitgen_20260919"
"RMUX68@3,3->RMUX85@2,3","RMUX68(+1,+0)->RMUX85","2","2","afexe_bitgen_20260919"
"RMUX73@3,3->RMUX1@3,3","RMUX73(+0,+0)->RMUX1","3","2","afexe_bitgen_20260919"
"RMUX86@3,3->RMUX50@4,3","RMUX86(-1,+0)->RMUX50","4","2","afexe_bitgen_20260919"
"RMUX91@3,3->RMUX72@2,3","RMUX91(+1,+0)->RMUX72","2","2","afexe_bitgen_20260919"
"RMUX91@3,3->RMUX89@2,3","RMUX91(+1,+0)->RMUX89","2","2","afexe_bitgen_20260919"
"RMUX2@3,4->RMUX18@3,3","RMUX2(+0,+1)->RMUX18","3","2","afexe_bitgen_20260919"
"RMUX7@3,4->RMUX25@3,4","RMUX7(+0,+0)->RMUX25","3","2","afexe_bitgen_20260919"
"RMUX8@3,4->RMUX26@2,4","RMUX8(+1,+0)->RMUX26","2","2","afexe_bitgen_20260919"
"RMUX8@3,4->RMUX37@2,4","RMUX8(+1,+0)->RMUX37","2","2","afexe_bitgen_20260919"
