src_res,src_x,src_y,dst_res,dst_x,dst_y,source
OMUX35,14,8,RMUX68,14,8,silicon_harvest
RMUX81,9,4,RMUX45,11,4,silicon_harvest
RMUX67,14,9,RMUX88,14,8,silicon_harvest
RMUX75,18,7,RMUX20,18,8,silicon_harvest
OMUX23,14,8,RMUX27,14,8,silicon_harvest
RMUX44,18,8,RMUX75,18,7,silicon_harvest
RMUX25,14,7,RMUX16,14,8,silicon_harvest
RMUX26,16,3,RMUX02,14,3,silicon_harvest
OMUX20,14,8,OMUX19,14,8,silicon_harvest
RMUX50,14,8,RMUX03,14,4,silicon_harvest
OMUX02,14,8,OMUX01,14,8,silicon_harvest
RMUX80,16,4,RMUX26,16,3,silicon_harvest
OMUX25,14,8,IMUX36,14,8,silicon_harvest
OMUX05,14,8,RMUX21,14,8,silicon_harvest
OMUX11,14,8,RMUX07,14,8,silicon_harvest
RMUX68,14,8,RMUX80,15,8,silicon_harvest
RMUX81,13,4,RMUX39,15,4,silicon_harvest
RMUX44,16,5,RMUX80,16,4,silicon_harvest
RMUX21,18,8,RMUX86,18,4,silicon_harvest
OMUX32,14,8,OMUX31,14,8,silicon_harvest
RMUX03,11,4,RMUX20,8,4,silicon_harvest
RMUX51,15,8,RMUX21,18,8,silicon_harvest
RMUX88,14,8,IMUX40,14,8,silicon_harvest
OMUX13,14,8,IMUX20,14,8,silicon_harvest
RMUX75,14,5,RMUX10,14,8,silicon_harvest
RMUX92,15,4,RMUX81,15,8,silicon_harvest
RMUX26,15,4,RMUX03,11,4,silicon_harvest
RMUX62,14,8,RMUX67,14,9,silicon_harvest
OMUX19,14,8,IMUX28,14,8,silicon_harvest
RMUX09,14,2,RMUX39,14,5,silicon_harvest
RMUX39,14,4,RMUX62,14,8,silicon_harvest
RMUX69,14,4,RMUX82,14,8,silicon_harvest
RMUX09,14,4,RMUX28,14,8,silicon_harvest
RMUX07,14,8,RMUX25,14,7,silicon_harvest
OMUX08,14,8,OMUX07,14,8,silicon_harvest
RMUX81,15,8,RMUX44,18,8,silicon_harvest
RMUX20,14,4,RMUX81,13,4,silicon_harvest
RMUX02,14,3,RMUX09,14,5,silicon_harvest
OMUX01,14,8,IMUX04,14,8,silicon_harvest
OMUX17,14,8,RMUX45,14,8,silicon_harvest
OMUX20,14,8,RMUX38,14,8,silicon_harvest
OMUX26,14,8,OMUX25,14,8,silicon_harvest
OMUX11,16,10,RMUX03,16,10,silicon_harvest
RMUX52,16,10,IMUX40,16,10,silicon_harvest
