x,y,mux,sel_index,byte,mask
4,5,BBMUXS1,6,64526,8
4,5,BBMUXS1,7,64642,8
4,5,BBMUXS1,8,64642,64
4,5,BBMUXS10,0,65451,32
4,5,BBMUXS10,1,65567,32
4,5,BBMUXS10,2,65451,16
4,5,BBMUXS10,3,65567,16
4,5,BBMUXS10,4,65451,8
4,5,BBMUXS10,5,65567,8
4,5,BBMUXS10,6,65451,4
4,5,BBMUXS10,7,65567,4
4,5,BBMUXS10,8,65568,128
4,5,BBMUXS11,0,65683,32
4,5,BBMUXS11,1,65799,32
4,5,BBMUXS11,2,65683,16
4,5,BBMUXS11,3,65799,16
4,5,BBMUXS11,4,65683,8
4,5,BBMUXS11,5,65799,8
4,5,BBMUXS11,6,65683,4
4,5,BBMUXS11,7,65799,4
4,5,BBMUXS11,8,65800,128
4,5,BBMUXS2,0,64758,1
4,5,BBMUXS2,1,64874,1
4,5,BBMUXS2,2,64758,2
4,5,BBMUXS2,3,64874,2
4,5,BBMUXS2,4,64758,4
4,5,BBMUXS2,5,64874,4
4,5,BBMUXS2,6,64758,8
4,5,BBMUXS2,7,64874,8
4,5,BBMUXS2,8,64874,64
4,5,BBMUXS3,0,65222,1
4,5,BBMUXS3,1,65338,1
4,5,BBMUXS3,2,65222,2
4,5,BBMUXS3,3,65338,2
4,5,BBMUXS3,4,65222,4
4,5,BBMUXS3,5,65338,4
4,5,BBMUXS3,6,65222,8
4,5,BBMUXS3,7,65338,8
4,5,BBMUXS3,8,65338,64
4,5,BBMUXS4,0,65454,1
4,5,BBMUXS4,1,65570,1
4,5,BBMUXS4,2,65454,2
4,5,BBMUXS4,3,65570,2
4,5,BBMUXS4,4,65454,4
4,5,BBMUXS4,5,65570,4
4,5,BBMUXS4,6,65454,8
4,5,BBMUXS4,7,65570,8
4,5,BBMUXS4,8,65570,64
4,5,BBMUXS5,0,65686,1
4,5,BBMUXS5,1,65802,1
4,5,BBMUXS5,2,65686,2
4,5,BBMUXS5,3,65802,2
4,5,BBMUXS5,4,65686,4
4,5,BBMUXS5,5,65802,4
4,5,BBMUXS5,6,65686,8
4,5,BBMUXS5,7,65802,8
4,5,BBMUXS5,8,65802,64
4,5,BBMUXS6,0,64291,32
4,5,BBMUXS6,1,64407,32
4,5,BBMUXS6,2,64291,16
4,5,BBMUXS6,3,64407,16
4,5,BBMUXS6,4,64291,8
4,5,BBMUXS6,5,64407,8
4,5,BBMUXS6,6,64291,4
4,5,BBMUXS6,7,64407,4
4,5,BBMUXS6,8,64408,128
4,5,BBMUXS7,0,64523,32
4,5,BBMUXS7,1,64639,32
4,5,BBMUXS7,2,64523,16
4,5,BBMUXS7,3,64639,16
4,5,BBMUXS7,4,64523,8
4,5,BBMUXS7,5,64639,8
4,5,BBMUXS7,6,64523,4
4,5,BBMUXS7,7,64639,4
4,5,BBMUXS7,8,64640,128
4,5,BBMUXS8,0,64755,32
4,5,BBMUXS8,1,64871,32
4,5,BBMUXS8,2,64755,16
4,5,BBMUXS8,3,64871,16
4,5,BBMUXS8,4,64755,8
4,5,BBMUXS8,5,64871,8
4,5,BBMUXS8,6,64755,4
4,5,BBMUXS8,7,64871,4
4,5,BBMUXS8,8,64872,128
4,5,BBMUXS9,0,65219,32
4,5,BBMUXS9,1,65335,32
4,5,BBMUXS9,2,65219,16
4,5,BBMUXS9,3,65335,16
4,5,BBMUXS9,4,65219,8
4,5,BBMUXS9,5,65335,8
4,5,BBMUXS9,6,65219,4
4,5,BBMUXS9,7,65335,4
4,5,BBMUXS9,8,65336,128
4,5,InputMUX0,0,64291,64
4,5,InputMUX1,0,64523,64
4,5,InputMUX10,0,65450,1
4,5,InputMUX11,0,65682,1
4,5,InputMUX2,0,64755,64
4,5,InputMUX3,0,65219,64
4,5,InputMUX4,0,65451,64
4,5,InputMUX5,0,65683,64
4,5,InputMUX6,0,64290,1
4,5,InputMUX7,0,64522,1
4,5,InputMUX8,0,64754,1
4,5,InputMUX9,0,65218,1
4,5,SeamMUX0,0,64293,2
4,5,SeamMUX0,1,64293,4
4,5,SeamMUX0,2,64293,8
4,5,SeamMUX0,3,64293,16
4,5,SeamMUX0,4,64293,32
4,5,SeamMUX0,5,64293,64
4,5,SeamMUX1,0,64525,2
4,5,SeamMUX1,1,64525,4
4,5,SeamMUX1,2,64525,8
4,5,SeamMUX1,3,64525,16
4,5,SeamMUX1,4,64525,32
4,5,SeamMUX1,5,64525,64
4,5,SeamMUX10,0,65452,16
4,5,SeamMUX10,1,65452,8
4,5,SeamMUX10,2,65452,4
4,5,SeamMUX10,3,65452,2
4,5,SeamMUX10,4,65452,1
4,5,SeamMUX10,5,65453,128
4,5,SeamMUX11,0,65684,16
4,5,SeamMUX11,1,65684,8
4,5,SeamMUX11,2,65684,4
4,5,SeamMUX11,3,65684,2
4,5,SeamMUX11,4,65684,1
4,5,SeamMUX11,5,65685,128
4,5,SeamMUX2,0,64757,2
4,5,SeamMUX2,1,64757,4
4,5,SeamMUX2,2,64757,8
4,5,SeamMUX2,3,64757,16
4,5,SeamMUX2,4,64757,32
4,5,SeamMUX2,5,64757,64
4,5,SeamMUX3,0,65221,2
4,5,SeamMUX3,1,65221,4
4,5,SeamMUX3,2,65221,8
4,5,SeamMUX3,3,65221,16
4,5,SeamMUX3,4,65221,32
4,5,SeamMUX3,5,65221,64
4,5,SeamMUX4,0,65453,2
4,5,SeamMUX4,1,65453,4
